Name,Company PBID,KF NEW,Funds,Link to Company,Founder(s),Year Founded (from Link to Company),Last Known Valuation (from Link to Company),Exit/Unicorn,Company Name (PB),Lead Partner PBID,Lead Partner Name,Investor PBID,Deal Attributable To (Fellow):,Gender Identity (from Deal Attributable To (Fellow):),Deal Attributable To (Non-Fellow):,Investment Date (Close Date on PB),Deal Size,Post-Valuation (M),Previous Post-Valuation (M),Deal Type,Deal Stage [PB],Stage [Internal],Exits (Did Firm Personally Exit)?,Notes,Future - ROUND INVESTED IN/ROUND ID?,Confidentiality,Count,Firms (from Funds),Firms,Deals (Nested),Added By (noloco),Attribution at Firm?,Investor Name,Previous Round Date,Previous Deal Type,Exit Type (from Link to Company),Unicorn Status (from Link to Company),HQ Country (from Link to Company),Industry Code (from Link to Company),Industry Group (from Link to Company),Industry Sector (from Link to Company),Created,Investment Role,Fund Returner,Fund Multiple
Gesto,264751-66,,,Gesto,,2015,,,Gesto,,Allen Taylor,185886-37,Allen Taylor,Male,,10/18/18,$5.00,,,,Series B,Series B,,,,,0,,,,,,Endeavor Catalyst,,,,,United States,IT Consulting and Outsourcing,IT Services,Information Technology,05/14/25 12:00 AM,,,
Cabify,55246-60,,,Cabify,,2011,"$1,486.00",,Cabify,,Allen Taylor,185886-37,Allen Taylor,Male,,10/17/18,$160.00,"$1,400.00",,Later Stage VC,Series C+,Series C+,,,,,0,,,,,,Endeavor Catalyst,05/04/17,Series D,Not Exited,Active,Spain,Automotive,Transportation,Consumer Products and Services (B2C),05/15/25 12:00 AM,,,
Altruist,265626-01,,,Altruist,,2018,"$1,550.00",,Altruist,,Allen Taylor,185886-37,Allen Taylor,Male,,09/14/18,$8.47,$25.46,,Early Stage VC,Series A,Series A,,,,,0,,,,,,Endeavor Catalyst,04/12/23,Series D,Not Exited,Active,United States,Financial Software,Software,Information Technology,05/16/25 12:00 AM,,,
Satispay,95062-42,,,Satispay,,2013,$994.72,,Satispay,,Allen Taylor,185886-37,Allen Taylor,Male,,08/18/18,$12.00,,,Later Stage VC,Series B,Series B,,,,,0,,,,,,Endeavor Catalyst,,,Not Exited,Active,Luxembourg,Financial Software,Software,Information Technology,05/17/25 12:00 AM,,,
Loft,234177-04,,,Loft,,2018,"$2,900.00",,Loft,,Allen Taylor,185886-37,Allen Taylor,Male,,07/24/18,$17.60,,,Early Stage VC,Series A,Series A,,,,,0,,,,,,Endeavor Catalyst,07/01/19,Series B,Not Exited,Active,Brazil,Real Estate Services (B2C),Services (Non-Financial),Consumer Products and Services (B2C),05/18/25 12:00 AM,,,
Rappi,155890-63,,,Rappi,,2015,"$5,358.60",,Rappi,,Allen Taylor,185886-37,Allen Taylor,Male,,06/17/18,$40.00,$663.32,,Early Stage VC,Series A,Series A,,,,,0,,,,,,Endeavor Catalyst,01/17/18,Series B,Not Exited,Active,Mexico,Internet Retail,Retail,Consumer Products and Services (B2C),05/19/25 12:00 AM,,,
Tailscale,268781-05,,,Tailscale,,2019,$1.00,,Tailscale,,Andy McLoughlin,48176-38,Andy McLoughlin,Male,,04/02/20,$3.00,,,Seed Round,,,,,,,0,,,,,,Uncork Capital,12/18/19,Pre-seed/Seed,Not Exited,Active,Canada,Business/Productivity Software,Software,Information Technology,05/20/25 12:00 AM,,,
LaunchDarkly,108596-71,,,LaunchDarkly,,2014,$3.00,,LaunchDarkly,,Andy McLoughlin,48176-38,Andy McLoughlin,Male,,01/16/20,$54.00,$834.00,$278.30,Later Stage VC,Series C1,Series C+,,,,,0,,,,,,Uncork Capital,03/13/19,Later VC,Not Exited,Active,United States,Software Development Applications,Software,Information Technology,05/21/25 12:00 AM,,,
Makerpad,436731-49,,,Makerpad,,2015,$4.40,,Makerpad,,Andy McLoughlin,106138-45,Andy McLoughlin,Male,,09/04/19,$0.40,$4.40,,Seed Round,,,,,,,0,,,,,,Andy McLoughlin,,,Merger/Acquisition,,United Kingdom,Software Development Applications,Software,Information Technology,05/22/25 12:00 AM,,,
Liftit,223480-18,,,Liftit,,2016,$0.80,,Liftit,,Eric Perez-Grovas,120886-03,Eric Perez-Grovas,Male,,10/04/18,,,,Early Stage VC,,,,,,,0,,,,,,Eric Perez-Grovas,01/12/18,Pre-seed/Seed,Merger/Acquisition,,Colombia,Logistics,Commercial Services,Business Products and Services (B2B),05/23/25 12:00 AM,,,
Konfio,93703-42,,,Konfio,,2013,"$1,300.00",,Konfio,,Eric Perez-Grovas,58561-75,Eric Perez-Grovas,Male,,06/18/18,$25.00,,,Later Stage VC,Series C,Series C+,,,,,0,,,,,,Wollef,08/25/17,Early VC,Not Exited,Active,Mexico,Specialized Finance,Other Financial Services,Financial Services,05/24/25 12:00 AM,,,
Ben&Frank,170381-62,,,Ben&Frank,,,,,Ben&Frank,,Eric Perez-Grovas,58561-75,Eric Perez-Grovas,Male,,02/01/18,,,,Early Stage VC,,Series B,,,,,0,,,,,,Wollef,,,,,,,,,05/25/25 12:00 AM,,,
Oyster,434384-20,,,Oyster,,2020,"$1,050.00",,Oyster,,Jason Green,455202-55,Jason Green,Male,,03/29/21,$20.00,$70.00,$20.20,Early Stage VC,Series A,Series A,,,,,0,,,,,,Jason Green,03/04/20,Pre-seed/Seed,Not Exited,Active,United States,Business/Productivity Software,Software,Information Technology,05/25/25 12:00 AM,,,
SalesLoft,54668-26,,,SalesLoft,,2011,"$2,300.00",,SalesLoft,,Jason Green,11171-44,Jason Green,Male,,01/27/21,$98.60,"$1,038.60",$555.00,Later Stage VC,Series E,Series C+,,,,,0,,,,,,Emergence (Financial Services),04/25/19,Venture Growth Buyout,LBO,Active,United States,Business/Productivity Software,Software,Information Technology,05/25/25 12:00 AM,,,
